order,validation_rmse,params,aggregate_score
"(2, 1, 2)",2.060645906993204,"{'order': [2, 1, 2]}",2.060645906993204
"(4, 1, 2)",2.07332863781774,"{'order': [4, 1, 2]}",2.07332863781774
"(3, 1, 3)",2.1185193416594283,"{'order': [3, 1, 3]}",2.1185193416594283
"(3, 1, 2)",2.139351085161485,"{'order': [3, 1, 2]}",2.139351085161485
"(2, 1, 1)",2.1912075988238118,"{'order': [2, 1, 1]}",2.1912075988238118
"(0, 1, 3)",2.192156364138019,"{'order': [0, 1, 3]}",2.192156364138019
"(2, 1, 3)",2.1922886393933343,"{'order': [2, 1, 3]}",2.1922886393933343
"(2, 1, 4)",2.19806034657265,"{'order': [2, 1, 4]}",2.19806034657265
"(0, 1, 4)",2.2045919562592813,"{'order': [0, 1, 4]}",2.2045919562592813
"(1, 1, 2)",2.2057158214845427,"{'order': [1, 1, 2]}",2.2057158214845427
"(1, 1, 4)",2.20681077539556,"{'order': [1, 1, 4]}",2.20681077539556
"(4, 1, 3)",2.210416453001596,"{'order': [4, 1, 3]}",2.210416453001596
"(1, 1, 1)",2.212941408442188,"{'order': [1, 1, 1]}",2.212941408442188
"(0, 1, 0)",2.216199563240465,"{'order': [0, 1, 0]}",2.216199563240465
"(1, 1, 0)",2.22177557634529,"{'order': [1, 1, 0]}",2.22177557634529
"(2, 1, 0)",2.2228738489643862,"{'order': [2, 1, 0]}",2.2228738489643862
"(0, 1, 1)",2.2230431148517322,"{'order': [0, 1, 1]}",2.2230431148517322
"(1, 1, 3)",2.226267968295155,"{'order': [1, 1, 3]}",2.226267968295155
"(0, 1, 2)",2.2273674039751,"{'order': [0, 1, 2]}",2.2273674039751
"(3, 1, 0)",2.230319875051976,"{'order': [3, 1, 0]}",2.230319875051976
"(3, 1, 1)",2.2345878981047553,"{'order': [3, 1, 1]}",2.2345878981047553
"(4, 1, 0)",2.235673537589079,"{'order': [4, 1, 0]}",2.235673537589079
"(4, 1, 1)",2.235711381336021,"{'order': [4, 1, 1]}",2.235711381336021
"(3, 1, 4)",2.236365222743665,"{'order': [3, 1, 4]}",2.236365222743665
"(4, 0, 3)",2.274246391735372,"{'order': [4, 0, 3]}",2.274246391735372
"(1, 0, 4)",2.390926858238051,"{'order': [1, 0, 4]}",2.390926858238051
"(1, 0, 0)",2.397483374966924,"{'order': [1, 0, 0]}",2.397483374966924
"(2, 0, 2)",2.3982399646162476,"{'order': [2, 0, 2]}",2.3982399646162476
"(3, 0, 1)",2.4080189044497087,"{'order': [3, 0, 1]}",2.4080189044497087
"(1, 0, 3)",2.42224859207367,"{'order': [1, 0, 3]}",2.42224859207367
"(3, 0, 2)",2.484554321658119,"{'order': [3, 0, 2]}",2.484554321658119
"(1, 0, 1)",2.4996420156938384,"{'order': [1, 0, 1]}",2.4996420156938384
"(1, 0, 2)",2.4999691094762455,"{'order': [1, 0, 2]}",2.4999691094762455
"(2, 0, 0)",2.5098361092680648,"{'order': [2, 0, 0]}",2.5098361092680648
"(3, 0, 0)",2.5302352754881627,"{'order': [3, 0, 0]}",2.5302352754881627
"(4, 0, 0)",2.829040042673956,"{'order': [4, 0, 0]}",2.829040042673956
"(4, 1, 4)",2.83335624685042,"{'order': [4, 1, 4]}",2.83335624685042
"(0, 0, 4)",3.422247083052378,"{'order': [0, 0, 4]}",3.422247083052378
"(0, 0, 3)",3.4766561750674048,"{'order': [0, 0, 3]}",3.4766561750674048
"(2, 0, 1)",3.620885811008348,"{'order': [2, 0, 1]}",3.620885811008348
"(0, 0, 2)",3.7559830164139703,"{'order': [0, 0, 2]}",3.7559830164139703
"(0, 0, 1)",3.786095023374722,"{'order': [0, 0, 1]}",3.786095023374722
"(0, 0, 0)",3.9180930895736377,"{'order': [0, 0, 0]}",3.9180930895736377
"(4, 0, 1)",4.057879968965258,"{'order': [4, 0, 1]}",4.057879968965258
"(3, 0, 3)",4.068618349703894,"{'order': [3, 0, 3]}",4.068618349703894
"(4, 0, 2)",4.126598709734682,"{'order': [4, 0, 2]}",4.126598709734682
"(2, 0, 3)",4.161144946445087,"{'order': [2, 0, 3]}",4.161144946445087
"(3, 0, 4)",4.176093164606969,"{'order': [3, 0, 4]}",4.176093164606969
"(4, 0, 4)",4.183819420362503,"{'order': [4, 0, 4]}",4.183819420362503
"(2, 0, 4)",4.565676790350259,"{'order': [2, 0, 4]}",4.565676790350259
